name,rate,location,cuisines,cost_for_two,type
Daal Roti,2.9,Kumaraswamy Layout,"North Indian, Chinese",250,Delivery
The Lassi Park,4.1,Jayanagar,"Juices, Desserts",200,Delivery
Cafe Coffee Day,3.2,Jayanagar,"Cafe, Fast Food",900,Delivery
Srikrishna Bhavan,3.8,Banashankari,"South Indian, North Indian, Chinese",300,Delivery
Timepass Dinner,3.8,Basavanagudi,North Indian,600,Delivery
Green Gardenia,3.8,Banashankari,"North Indian, Chinese",700,Delivery
J Spice,3.8,Banashankari,"North Indian, Chinese",750,Delivery
Karavali Family Restaurant,3.5,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery
Karavali Lunch Home,3.7,Kumaraswamy Layout,"South Indian, Mangalorean",350,Delivery
Hatti Kaapi,4,Jayanagar,"South Indian, Beverages",200,Delivery
Kolkata Kathi Roll's,3.6,Banashankari,"Fast Food, Rolls",250,Delivery
Upahara Darshini,3.9,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",600,Delivery
Anda Ka Funda,3.4,Jayanagar,"North Indian, Chinese, Rolls",250,Delivery
Shri Vinayaka Ice N Juice,3.2,Basavanagudi,"Beverages, Fast Food",150,Delivery
My Tea House,3.6,Banashankari,"Italian, Fast Food, Cafe, European",600,Delivery
Ibaco,3.9,Jayanagar,Desserts,300,Delivery
Jalaram Sweets,3.8,Jayanagar,"Desserts, Mithai",250,Delivery
Samskruti - Sanman Gardenia,4.1,Jayanagar,"North Indian, Chinese, South Indian",550,Delivery
Cocoa Bakes,3.6,Banashankari,"Bakery, Desserts",350,Delivery
Chumma Delicious,3.7,Banashankari,"South Indian, Fast Food",200,Delivery
New Prashanth Hotel,3.9,Banashankari,"Biryani, North Indian, Seafood, Andhra",650,Delivery
SSV Upahar,3.7,Jayanagar,"South Indian, Chinese",300,Delivery
Dwaraka Grand,3.9,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",500,Delivery
Gufha - The President Hotel,4.1,Jayanagar,"North Indian, Afghani, Mughlai",1200,Delivery
Cafe Vivacity,3.8,Banashankari,Cafe,650,Delivery
Tanna's Kitchen,3.1,Kumaraswamy Layout,"Italian, Chinese, Street Food",250,Delivery
Mojo Pizza - 2X Toppings,4.2,Banashankari,Pizza,600,Delivery
Iceberg Icecreams,4,Basavanagudi,"Desserts, Ice Cream",250,Delivery
South Kitchen,4.3,Basavanagudi,South Indian,100,Delivery
Chung Wah,3.7,Jayanagar,"Chinese, Thai, Momos",850,Delivery
Millet Mama,3.9,Basavanagudi,"South Indian, Healthy Food",200,Delivery
Bangarpet Chat Express,3.3,Basavanagudi,"Street Food, Fast Food",100,Delivery
South Cool Point,3.7,Basavanagudi,Beverages,100,Delivery
Prems Graama Bhojanam,4.3,Jayanagar,South Indian,400,Delivery
Java City,2.6,Jayanagar,"Cafe, American, Pizza",450,Delivery
